n_per_arm,baseline_callback_rate,risk_difference,residue_on_rate,alpha,approx_power
80,0.2,0.3,0.5,0.05,0.9825662726335253
80,0.3,0.04999999999999999,0.35,0.05,0.09951002680907751
80,0.3,0.10000000000000003,0.4,0.05,0.2640849207440418
80,0.3,0.14999999999999997,0.44999999999999996,0.05,0.5036633067126384
80,0.3,0.2,0.5,0.05,0.7397896598901065
80,0.3,0.3,0.6,0.05,0.9723299481926949
150,0.05,0.05,0.1,0.05,0.3847275679425928
150,0.05,0.10000000000000002,0.15000000000000002,0.05,0.8467006835964286
150,0.05,0.15000000000000002,0.2,0.05,0.9847924211563671
150,0.05,0.2,0.25,0.05,0.9993200416479652
150,0.05,0.3,0.35,0.05,0.9999998291011124
150,0.1,0.05000000000000002,0.15000000000000002,0.05,0.25962850395670223
150,0.1,0.1,0.2,0.05,0.6906751898109866
150,0.1,0.15,0.25,0.05,0.9377491728332754
150,0.1,0.20000000000000004,0.30000000000000004,0.05,0.9939086522320907
150,0.1,0.30000000000000004,0.4,0.05,0.9999924367238426
150,0.2,0.04999999999999999,0.25,0.05,0.17837402491952195
150,0.2,0.10000000000000003,0.30000000000000004,0.05,0.519571696492368
150,0.2,0.14999999999999997,0.35,0.05,0.8350221977523985
150,0.2,0.2,0.4,0.05,0.9691961288528741
150,0.2,0.3,0.5,0.05,0.9998486154006335
150,0.3,0.04999999999999999,0.35,0.05,0.1503719727294414
150,0.3,0.10000000000000003,0.4,0.05,0.44435594890142277
150,0.3,0.14999999999999997,0.44999999999999996,0.05,0.7692566913178427
150,0.3,0.2,0.5,0.05,0.9456293548734753
150,0.3,0.3,0.6,0.05,0.9995925553300756
250,0.05,0.05,0.1,0.05,0.5761148271788225
250,0.05,0.10000000000000002,0.15000000000000002,0.05,0.9706365459437579
250,0.05,0.15000000000000002,0.2,0.05,0.9996171133816829
250,0.05,0.2,0.25,0.05,0.9999987333274559
250,0.05,0.3,0.35,0.05,0.9999999999995751
250,0.1,0.05000000000000002,0.15000000000000002,0.05,0.3967779773704172
250,0.1,0.1,0.2,0.05,0.8874256487218442
250,0.1,0.15,0.25,0.05,0.9946676776908754
250,0.1,0.20000000000000004,0.30000000000000004,0.05,0.9999295586793647
250,0.1,0.30000000000000004,0.4,0.05,0.9999999996275896
250,0.2,0.04999999999999999,0.25,0.05,0.26782145288584236
250,0.2,0.10000000000000003,0.30000000000000004,0.05,0.7368613354667132
250,0.2,0.14999999999999997,0.35,0.05,0.9662274525595411
250,0.2,0.2,0.4,0.05,0.998574427908352
250,0.2,0.3,0.5,0.05,0.9999999173274472
250,0.3,0.04999999999999999,0.35,0.05,0.22194728936285188
250,0.3,0.10000000000000003,0.4,0.05,0.6516149706044043
250,0.3,0.14999999999999997,0.44999999999999996,0.05,0.9358736459317792
250,0.3,0.2,0.5,0.05,0.9958661115419737
250,0.3,0.3,0.6,0.05,0.9999995013848122
