n_per_arm_nominal,baseline_callback_rate,risk_difference,cluster_size,icc,design_effect,effective_n_per_arm,approx_power_cluster_adjusted
10,0.1,0.1,8,0.05,1.35,7.4074074074074066,0.07871002798191176
10,0.1,0.1,8,0.1,1.7000000000000002,5.88235294117647,0.07034032240382722
10,0.1,0.15,2,0.01,1.01,9.900990099009901,0.14417432699796623
10,0.1,0.15,2,0.05,1.05,9.523809523809524,0.14028804081006915
10,0.1,0.15,2,0.1,1.1,9.09090909090909,0.1358229161432205
10,0.1,0.15,4,0.01,1.03,9.70873786407767,0.14219390405444907
10,0.1,0.15,4,0.05,1.15,8.695652173913045,0.13174106690525303
10,0.1,0.15,4,0.1,1.3,7.692307692307692,0.12135294367033739
10,0.1,0.15,8,0.01,1.07,9.345794392523365,0.1384525605473962
10,0.1,0.15,8,0.05,1.35,7.4074074074074066,0.11839470191081643
10,0.1,0.15,8,0.1,1.7000000000000002,5.88235294117647,0.10246500350979043
10,0.1,0.20000000000000004,2,0.01,1.01,9.900990099009901,0.2082890554096834
10,0.1,0.20000000000000004,2,0.05,1.05,9.523809523809524,0.20201561206812269
10,0.1,0.20000000000000004,2,0.1,1.1,9.09090909090909,0.1948061149033491
10,0.1,0.20000000000000004,4,0.01,1.03,9.70873786407767,0.20509240316264213
10,0.1,0.20000000000000004,4,0.05,1.15,8.695652173913045,0.18821541119262136
10,0.1,0.20000000000000004,4,0.1,1.3,7.692307692307692,0.17145291096632403
10,0.1,0.20000000000000004,8,0.01,1.07,9.345794392523365,0.199052123608303
10,0.1,0.20000000000000004,8,0.05,1.35,7.4074074074074066,0.16668503664995518
10,0.1,0.20000000000000004,8,0.1,1.7000000000000002,5.88235294117647,0.14109529582760863
10,0.1,0.30000000000000004,2,0.01,1.01,9.900990099009901,0.36513187827837273
10,0.1,0.30000000000000004,2,0.05,1.05,9.523809523809524,0.3535183219878837
10,0.1,0.30000000000000004,2,0.1,1.1,9.09090909090909,0.3400742608646282
10,0.1,0.30000000000000004,4,0.01,1.03,9.70873786407767,0.35922428462260153
10,0.1,0.30000000000000004,4,0.05,1.15,8.695652173913045,0.32769747075373473
10,0.1,0.30000000000000004,4,0.1,1.3,7.692307692307692,0.29588120777411464
10,0.1,0.30000000000000004,8,0.01,1.07,9.345794392523365,0.34800444546423204
10,0.1,0.30000000000000004,8,0.05,1.35,7.4074074074074066,0.28675250998880497
10,0.1,0.30000000000000004,8,0.1,1.7000000000000002,5.88235294117647,0.23730705794222637
10,0.2,0.04999999999999999,2,0.01,1.01,9.900990099009901,0.04521014896622104
10,0.2,0.04999999999999999,2,0.05,1.05,9.523809523809524,0.04472410194971657
10,0.2,0.04999999999999999,2,0.1,1.1,9.09090909090909,0.04415960051776764
10,0.2,0.04999999999999999,4,0.01,1.03,9.70873786407767,0.04496305764734896
10,0.2,0.04999999999999999,4,0.05,1.15,8.695652173913045,0.04363752851346142
10,0.2,0.04999999999999999,4,0.1,1.3,7.692307692307692,0.042280304014802345
10,0.2,0.04999999999999999,8,0.01,1.07,9.345794392523365,0.044492858566855066
10,0.2,0.04999999999999999,8,0.05,1.35,7.4074074074074066,0.04188559432375042
