outcome,residue_on,residue_off,effect,effect_type,ci_lo,ci_hi,perm_p
rolling_callback_rate (primary),0.5,0.0,0.5,risk_difference,0.0,1.0,1.0
rule_based_aftertaste_proxy (secondary),1.0,1.0,0.0,cliffs_delta,0.0,0.0,1.0
